Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
30,North Carolina,ACC (Coastal),30,8,5,6.18,2.07,8.25,82.25,-22.65,13.90,1.48,9.41,0.14,11.18,1.02
31,Pitt,ACC (Coastal),30,8,5,15.30,-7.17,8.12,90.73,-13.83,14.39,1.90,9.86,-0.49,11.12,1.53
32,Kansas State,Big 12,30,9,4,1.70,6.39,8.09,78.76,-26.78,11.92,1.72,9.27,-0.37,9.99,1.26
33,Boise State,MWC (Mountain),30,10,3,2.87,5.14,8.01,76.66,-22.18,14.42,0.97,8.65,-0.05,10.73,1.09
34,South Florida,American (East),19,11,2,14.00,-6.16,7.83,90.21,-13.30,13.61,1.70,10.71,0.64,11.41,1.70
35,Nebraska,Big Ten (West),35,9,4,-0.90,8.45,7.55,73.76,-23.01,12.37,1.42,8.42,0.34,9.65,1.45
36,North Carolina State,ACC (Atlantic),35,7,6,0.69,6.81,7.49,76.44,-26.50,13.38,1.07,8.66,-0.95,10.31,0.65
37,Georgia Tech,ACC (Coastal),35,9,4,3.28,3.85,7.13,78.04,-23.59,16.22,1.37,10.13,0.53,11.07,1.50
38,Tulsa,American (West),35,10,3,11.07,-4.16,6.91,88.48,-14.89,13.20,1.41,9.24,0.65,10.40,1.57
39,Iowa,Big Ten (West),35,8,5,-0.51,7.31,6.81,74.25,-26.71,12.12,1.29,8.89,0.14,9.72,1.15
40,Brigham Young,Ind,35,9,4,0.11,6.39,6.50,74.98,-25.58,11.59,2.08,9.03,-0.70,9.64,1.20
41,San Diego State,MWC (West),25,11,3,-0.89,6.86,5.97,76.05,-23.78,12.83,1.54,9.49,-0.88,10.17,0.83
42,Northwestern,Big Ten (West),35,7,6,0.48,4.98,5.46,75.16,-25.48,12.02,1.59,8.47,-0.35,9.64,1.26
1,Alabama,SEC (West),1,14,1,9.34,14.38,23.72,56.01,-3.79,9.83,3.87,6.33,1.15,7.66,2.70
2,Ohio State,Big Ten (East),4,12,1,6.45,14.28,20.73,52.80,-2.61,9.59,3.88,6.88,2.07,7.76,3.07
3,Clemson,ACC (Atlantic),2,14,1,12.53,6.35,18.88,59.12,3.34,10.49,4.31,6.39,2.00,8.07,3.19
4,Stanford,Pac-12 (North),3,12,2,12.14,6.67,18.81,56.49,3.59,11.37,4.77,6.47,2.91,8.08,3.96
5,Oklahoma,Big 12,5,11,2,8.23,9.60,17.84,59.24,1.53,10.92,3.91,6.12,2.69,8.12,3.30
6,Michigan,Big Ten (East),12,10,3,4.17,12.17,16.34,50.42,-0.45,9.57,3.72,5.72,2.28,7.28,3.13
7,Michigan State,Big Ten (East),6,12,2,4.50,10.87,15.36,47.73,1.25,9.43,4.87,5.24,2.04,6.87,3.77
8,LSU,SEC (West),16,9,3,6.61,8.44,15.04,50.76,2.24,9.83,3.92,7.28,2.31,8.13,3.26
9,Ole Miss,SEC (West),10,10,3,8.16,6.25,14.42,58.84,5.06,10.87,4.33,6.55,2.17,8.63,3.43
10,Notre Dame,Ind,11,10,3,10.99,3.33,14.33,56.56,6.66,10.93,4.74,7.35,3.16,8.76,4.17
11,Tennessee,SEC (East),22,9,4,9.07,4.87,13.94,54.89,5.33,9.03,4.73,6.18,3.07,7.20,3.98
12,Florida State,ACC (Atlantic),14,10,3,4.84,8.75,13.59,50.27,1.65,9.68,3.93,6.64,2.65,8.02,3.44
13,Mississippi State,SEC (West),30,9,4,8.45,5.14,13.59,53.37,5.40,10.33,4.71,5.91,2.92,8.13,3.75
14,Baylor,Big 12,13,10,3,12.69,0.39,13.08,60.81,10.82,11.03,4.99,6.60,2.84,8.20,3.85
15,Arkansas,SEC (West),30,8,5,11.32,1.47,12.79,55.22,9.24,11.48,6.49,6.40,2.44,8.43,4.65
16,North Carolina,ACC (Coastal),15,11,3,10.46,2.27,12.73,57.28,8.48,10.74,4.32,7.14,4.06,8.61,4.25
17,Houston,American (West),8,13,1,8.01,4.31,12.32,53.70,7.71,9.43,6.07,5.79,2.42,7.11,4.53
18,USC,Pac-12 (South),30,8,6,4.68,6.85,11.53,52.08,3.33,10.13,5.25,5.81,2.36,7.64,3.86
19,Texas Christian,Big 12,7,11,2,8.94,2.46,11.39,54.96,8.40,10.34,4.36,5.78,3.07,7.89,3.73
20,Utah,Pac-12 (South),17,10,3,3.23,8.16,11.39,47.92,2.06,8.63,4.81,5.61,1.81,6.66,3.53
21,Navy,American (West),18,11,2,5.86,5.29,11.14,50.52,6.71,11.81,5.14,6.66,3.10,7.25,4.48
22,Oregon,Pac-12 (North),19,9,4,18.61,-7.56,11.05,61.92,19.96,10.82,5.07,7.37,3.79,8.52,4.56
23,Wisconsin,Big Ten (West),21,10,3,-1.85,12.70,10.85,43.73,-1.12,8.96,4.29,5.32,2.01,6.81,3.27
24,Iowa,Big Ten (West),9,12,2,3.70,7.10,10.80,47.34,5.71,9.61,4.93,5.71,2.43,7.09,3.88
25,Toledo,MAC (West),30,10,2,3.84,6.32,10.16,48.00,5.79,8.77,4.93,5.92,2.46,7.13,3.88
26,Washington,Pac-12 (North),30,7,6,-2.60,12.33,9.73,46.25,-2.10,9.51,4.64,5.84,1.89,7.32,3.23
27,Florida,SEC (East),25,10,4,-0.60,10.26,9.65,44.24,1.59,9.53,4.28,5.03,2.12,6.91,3.17
28,Western Kentucky,CUSA (East),24,12,2,10.85,-1.23,9.62,56.70,14.06,10.74,5.89,5.51,3.59,8.26,4.71
29,California,Pac-12 (North),30,8,5,10.98,-1.44,9.54,56.65,12.26,10.84,5.66,6.01,3.40,8.47,4.59
30,Texas A&M,SEC (West),30,8,5,2.21,7.19,9.40,46.44,4.31,8.86,4.00,5.88,3.61,7.14,3.83
