School,AP Rank,W,L,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Total Plays,Total Yds,Total Avg,FstD Pass,FstD Rush,FstD Pen,FstD Tot,Pen No,Pen Yds,Fum,Int,Tot Turn,SOS
USC,3,10,3,4.2,1.8,8.8,48.9,0.7,4.1,61.5,1.1,0.2,6.0,110.3,1.0,2.6,3.3,-0.2,5.7,2.8,22.0,0.2,-0.3,0.0,2
LSU,13,8,4,-1.7,-5.5,5.1,-7.1,0.2,2.4,115.8,2.8,1.9,-3.1,108.8,1.9,0.0,3.6,0.0,3.6,-0.5,-0.8,0.1,-0.2,0.0,7
PSU,7,11,3,-4.8,-5.8,-4.1,44.1,0.8,-1.1,23.6,0.8,0.8,-6.9,67.7,1.6,-0.4,0.9,0.3,0.8,-2.4,-18.7,0.1,-0.1,-0.1,11
Wisconsin,9,11,3,-2.0,-8.0,10.0,-23.5,0.1,16.9,104.3,1.0,1.6,8.9,80.7,0.6,0.0,4.2,-0.2,3.9,-1.0,-2.4,0.0,-0.9,-0.9,12
FSU,8,10,3,1.6,1.3,2.6,43.0,0.4,4.6,74.3,1.5,1.0,6.0,117.3,1.2,1.4,4.7,-0.2,5.9,1.1,13.8,0.3,-0.6,-0.3,5
Okla,5,11,2,0.0,-8.6,15.9,48.6,1.1,8.2,74.2,0.9,1.1,-0.3,122.8,1.6,2.3,1.9,-0.2,4.1,-1.6,-1.9,0.1,-0.1,0.0,30
Miami,20,9,4,0.0,-1.5,3.0,60.4,0.8,-4.7,18.7,1.0,1.0,-6.3,79.1,1.6,1.9,-0.5,-0.1,1.3,0.2,6.0,-0.6,-0.1,-0.7,39
Stanford,12,10,3,-4.6,-10.1,4.0,-65.4,-0.2,5.4,63.1,1.0,0.3,-4.8,-2.3,0.4,-2.4,1.2,-0.3,-1.4,-0.2,-3.8,0.2,-0.4,-0.1,13
Colorado,17,10,4,3.9,-0.1,11.9,61.4,0.2,8.6,34.2,0.0,1.1,8.5,95.5,0.7,1.5,3.5,0.7,5.8,-0.4,-4.5,-0.2,-0.3,-0.5,9
WMU,15,13,1,2.9,-1.2,13.1,52.3,1.2,12.8,75.3,0.4,1.4,11.6,127.6,0.9,1.7,5.5,0.1,7.3,-1.0,-2.6,-0.5,-0.8,-1.3,107
Auburn,24,8,5,-7.1,-13.7,4.1,-59.7,-0.2,14.1,138.5,1.8,1.9,0.3,78.9,1.0,-3.0,5.9,-0.2,2.7,-1.4,-12.7,0.1,-0.3,-0.2,10
Lousiville,21,9,4,1.9,1.9,2.4,83.4,0.3,3.2,127.0,2.9,2.3,5.1,210.5,2.5,2.7,5.2,-0.4,7.5,1.9,13.9,0.9,-0.4,0.6,50
Ok St,11,10,3,2.5,2.6,2.4,71.1,0.5,-4.4,-22.5,-0.1,0.8,-1.8,48.6,0.8,2.4,-0.8,-0.5,1.1,0.0,2.9,0.0,-0.8,-0.8,56
Va Tech,16,10,4,4.5,1.3,12.0,61.7,0.9,8.0,43.4,0.3,0.3,9.2,105.0,0.8,4.0,2.6,-0.2,6.3,-3.0,-11.3,0.7,-0.5,0.1,46
Florida,14,9,4,7.1,6.3,13.7,67.3,0.8,-2.7,-16.3,-0.1,-0.4,3.5,51.0,0.5,3.2,-0.1,-0.9,2.3,2.5,22.5,-0.1,0.0,-0.1,20
Bama,1,14,1,3.4,-3.3,17.0,26.6,0.4,11.6,124.2,2.3,1.7,8.3,150.8,1.6,1.2,6.0,-0.1,7.1,-0.1,9.3,0.0,-0.6,-0.7,1
Oh St,4,12,1,-0.3,-6.7,12.3,4.3,0.4,6.2,118.5,2.2,2.2,-0.6,122.8,1.8,0.9,4.4,-0.3,4.9,0.5,13.3,0.0,-0.2,-0.2,36
Clemson,2,14,1,9.6,6.1,18.9,104.2,1.0,9.8,97.0,1.4,1.2,15.9,201.1,1.5,5.8,4.8,0.6,11.2,-0.3,-8.2,0.2,-0.1,0.1,10
Stanford,3,12,2,-4.2,-11.1,9.7,-17.2,0.7,11.2,84.3,0.8,1.3,0.2,67.1,1.0,-1.2,3.5,0.8,3.1,-0.1,-6.7,0.0,0.0,-0.1,11
Oklahoma,5,11,2,4.8,0.2,13.9,105.4,1.4,1.7,60.4,1.2,1.3,1.7,165.7,2.0,4.6,1.9,0.1,6.8,0.3,9.1,0.2,-0.8,-0.7,25
Michigan,12,10,3,5.9,2.6,14.7,79.4,1.0,4.2,35.8,0.6,1.2,6.8,115.2,1.2,4.2,0.4,-0.9,3.7,1.0,8.4,0.3,0.0,0.3,20
MSU,6,12,2,-1.9,-0.5,-5.0,0.3,0.5,7.3,35.4,0.2,0.6,6.9,35.7,-0.1,1.9,1.9,-0.1,3.6,-0.2,-6.7,-0.5,-0.5,-1.0,5
LSU,16,9,3,-7.3,-11.7,-2.7,-43.9,-0.7,9.9,133.9,2.3,1.7,-1.8,90.1,1.5,-2.1,3.8,0.3,1.0,1.9,13.7,-0.3,-0.3,-0.6,4
Ole Miss,10,10,3,0.0,-3.4,5.2,75.9,0.9,-2.6,56.0,1.8,1.6,-6.0,132.0,2.2,2.0,2.5,0.5,4.9,-0.6,0.5,0.1,0.0,0.1,23
Notre Dame,11,10,3,2.6,0.7,7.2,60.7,0.5,-1.2,33.5,1.0,0.6,-0.4,94.1,1.4,2.6,1.6,-0.4,3.9,0.0,-4.3,0.4,0.1,0.4,6
Tenn,22,9,4,0.0,-4.9,8.6,-11.8,0.0,11.4,71.1,0.5,1.6,6.5,59.3,0.4,0.8,4.0,-0.4,4.4,-1.4,-15.7,0.0,-0.5,-0.7,44
FSU,14,10,3,0.9,-1.9,6.1,64.2,0.6,-5.2,22.9,1.3,1.3,-7.1,87.1,1.8,1.4,0.0,0.2,1.7,1.1,5.5,0.0,0.1,0.0,51
Miss St,30,9,4,5.7,5.9,5.6,99.9,1.3,-8.0,-30.5,0.1,0.4,-2.2,69.3,1.2,1.9,0.0,-0.5,2.2,-0.4,-0.8,0.9,-0.6,0.3,18
Baylor,13,10,3,-2.0,-4.1,1.2,56.0,1.2,12.4,163.6,2.1,2.1,8.3,219.7,2.1,1.4,7.7,-0.7,8.4,1.3,16.0,0.1,-0.1,0.0,16
Arkansas,30,8,5,-2.6,-4.7,1.6,-7.0,1.0,8.3,81.8,1.2,0.5,3.6,74.9,0.8,0.6,3.0,-0.3,3.3,-0.2,2.8,-0.3,-0.2,-0.5,7
UNC,15,11,3,1.7,-2.0,9.2,74.1,1.1,-10.6,-23.1,0.9,1.1,-12.5,51.0,1.8,1.7,-2.7,0.3,-0.7,-1.5,-16.7,0.0,-0.5,-0.4,61
Houston,8,13,1,0.4,-4.8,10.1,-26.4,0.3,13.5,127.4,1.7,2.2,8.6,101.0,0.7,-0.2,5.2,0.6,5.6,-0.8,1.3,-0.5,-1.0,-1.5,90
USC,30,8,6,1.5,0.5,3.7,18.6,0.3,0.0,18.9,0.5,0.7,0.4,37.5,0.5,-0.2,0.8,-0.7,-0.1,2.3,24.2,-0.2,-0.5,-0.7,2
TCU,7,11,2,8.2,5.8,13.3,131.9,1.7,-0.1,32.6,0.8,0.0,5.7,164.4,1.6,5.9,1.6,-0.9,6.5,1.5,18.3,-0.6,0.7,0.0,57
Utah,17,10,3,-3.2,-10.7,9.6,-78.4,-0.5,10.8,74.6,0.9,1.0,0.2,-3.8,-0.1,-3.6,4.2,0.1,0.7,0.0,1.1,-0.1,-0.9,-1.0,26
Oregon,2,13,2,-1.7,-7.1,8.4,48.2,1.5,3.8,69.1,1.3,1.3,-3.4,117.3,1.8,0.6,3.4,-0.2,3.8,2.1,18.1,-0.9,-0.6,-1.6,9
Auburn,22,8,5,-2.7,-6.9,5.0,-0.6,0.1,8.8,86.7,1.0,0.8,1.9,86.2,1.0,0.1,4.0,-2.0,2.1,2.8,33.4,0.6,-1.2,-0.6,2
Stanford,30,8,5,0.3,-3.8,8.1,51.9,0.6,2.6,54.3,1.2,0.8,-1.2,106.2,1.7,2.5,0.8,0.3,3.7,-0.4,-5.3,0.7,-0.3,0.4,25
Georgia,9,10,3,1.0,-4.4,13.6,29.5,0.8,2.1,92.0,2.0,1.1,-2.2,121.6,2.0,2.0,1.6,-0.1,3.5,-0.2,-3.7,-0.5,-0.7,-1.2,20
USC,20,9,4,-0.3,-6.8,10.3,22.1,1.5,5.3,27.5,0.2,-0.1,-1.5,49.6,0.8,0.3,1.7,-1.6,0.5,2.6,23.9,-0.2,-0.7,-0.9,11
Ohio St,1,14,1,-1.1,-5.7,7.8,46.0,1.7,10.2,123.2,1.8,1.1,4.5,169.2,2.0,1.0,6.5,-0.6,6.8,0.3,1.7,0.4,-0.9,-0.5,17
Alabama,4,12,2,1.6,-3.0,9.9,51.9,0.9,8.2,104.2,1.9,2.1,5.2,156.1,1.8,2.0,5.2,0.2,7.6,0.5,3.2,0.3,-0.1,0.2,5
